service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2533762,0,0,0,0,0,0,0,20180114,20180211
2533763,0,0,0,0,0,0,0,20180101,20180225
2533764,0,0,0,0,0,0,0,20180108,20180216
12491118,0,0,0,0,0,0,0,20171227,20171230
12491119,0,0,0,0,0,0,0,20171224,20171224
2491117,0,0,0,0,0,0,0,20171224,20171231
12491121,0,0,0,0,0,0,0,20171222,20171223
2491118,0,0,0,0,0,0,0,20171226,20171229
2491119,0,0,0,0,0,0,0,20171223,20171223
12533767,0,0,0,0,0,0,0,20180107,20180225
2491120,0,0,0,0,0,0,0,20171230,20171230
12533766,0,0,0,0,0,0,0,20180114,20180218
2491121,0,0,0,0,0,0,0,20171221,20171222
12533765,0,0,0,0,0,0,0,20180103,20180301
12491117,0,0,0,0,0,0,0,20171225,20180101
12533764,0,0,0,0,0,0,0,20180109,20180217
12491120,0,0,0,0,0,0,0,20171231,20171231
12533763,0,0,0,0,0,0,0,20180102,20180226
12533762,0,0,0,0,0,0,0,20180115,20180212
2533767,0,0,0,0,0,0,0,20180106,20180224
2533766,0,0,0,0,0,0,0,20180113,20180217
2533765,0,0,0,0,0,0,0,20180102,20180228
