from_stop_id,to_stop_id,transfer_type,min_transfer_time
4726925,4036760,2,52
4996974,4726945,2,45
4726928,4037045,2,97
3687077,4726950,2,65
4996974,4726946,2,18
4726932,4044990,2,67
2099,4726929,2,213
2376,4726932,2,229
2063,4726948,2,195
2099,4726928,2,278
4726945,4035988,2,28
4037264,4726939,2,64
3343782,4726953,2,257
4726917,3893337,2,18
4726929,2100,2,213
2063,4726949,2,209
4726963,4459240,2,74
4726942,3764980,2,70
4726928,3764647,2,97
4726921,4008835,2,68
3343781,4726953,2,257
4726948,4459258,2,64
3764552,4726960,2,105
4726963,5018190,2,96
4726942,1166833,2,319
4726928,6591523,2,97
4726925,4016274,2,30
4726923,4016320,2,108
4726915,4473191,2,48
4726925,4016275,2,30
4726915,4473190,2,48
4726925,4036759,2,30
6591548,4726955,2,80
3343786,4726948,2,195
3343786,4726949,2,209
1677,4726958,2,189
4726942,3673588,2,70
4996989,4726932,2,67
4726934,3687441,2,36
4726941,3747836,2,89
3764551,4726925,2,30
3687076,4726950,2,103
3687076,4726951,2,24
4726942,1166832,2,319
2007,4726924,2,208
4726939,3747834,2,104
1677,4726957,2,281
4726921,3747816,2,95
4726919,2102,2,192
4726955,967988,2,254
4726955,967989,2,254
4726921,3747817,2,78
3716926,4726945,2,22
4726917,5018189,2,29
2375,4726927,2,210
1662,4726926,2,249
2487,4726957,2,281
3716926,4726946,2,36
2487,4726958,2,189
4726921,4016337,2,97
5454899,4726925,2,30
4726921,4016336,2,87
4726917,4459241,2,18
4726940,4036641,2,89
4726949,3813103,2,94
4726917,5018190,2,84
4726944,1955,2,310
4726944,1956,2,190
2376,4726956,2,279
2376,4726955,2,254
5158083,4726915,2,65
5158083,4726914,2,58
5231613,4726943,2,81
2468,4726963,2,200
4996984,4726935,2,26
4726953,3687441,2,48
5231613,4726942,2,72
4726917,2286,2,186
4726963,4045022,2,67
5710086,4726961,2,59
4726914,3893336,2,49
4726914,3893335,2,49
5158083,4726963,2,74
3687076,4726936,2,39
4726946,4035989,2,28
3343780,4726934,2,286
3343781,4726934,2,277
4726949,4044994,2,105
4726949,4044993,2,21
4726921,3926210,2,39
4726957,3764656,2,58
4726921,3926211,2,97
2063,4726939,2,241
2063,4726938,2,197
4996989,4726955,2,101
4726950,3747833,2,65
3749784,4726925,2,52
4726942,4035992,2,98
4726944,3673588,2,80
4726922,3764803,2,37
4726922,3764802,2,62
4726916,3893338,2,18
4726919,4016361,2,18
4726922,5138032,2,62
4726942,4035991,2,70
4726942,4035990,2,72
5710045,4726925,2,30
4726920,4008835,2,50
5709987,4726925,2,30
4726938,4037243,2,104
3765194,4726947,2,16
4726916,4036751,2,18
4726916,5018222,2,12
4726916,4036750,2,12
3807573,4726923,2,108
2224140,4726920,2,99
3764738,4726914,2,102
4726916,4008889,2,12
3764766,4726914,2,94
2224140,4726919,2,37
2224140,4726918,2,45
5710044,4726925,2,52
4726925,4036653,2,52
5675641,4726945,2,28
4726918,3811232,2,81
4726944,4036205,2,80
3343772,4726960,2,198
4472773,4726963,2,67
2377,4726932,2,229
4726943,4459260,2,81
4726955,6591526,2,80
1767,4726956,2,279
3343778,4726932,2,229
1767,4726955,2,254
4726957,2488,2,281
4726943,4035992,2,31
7153047,4726945,2,18
4726943,4035990,2,81
7153047,4726946,2,17
4726939,3813103,2,40
4726939,3813102,2,64
3716894,4726945,2,83
3716894,4726944,2,93
3716894,4726946,2,70
4726939,3747868,2,64
5150763,4726944,2,28
2050,4726928,2,278
4726963,2469,2,200
4726963,4036827,2,96
5150763,4726942,2,98
3343782,4726934,2,277
4726939,3747869,2,105
4997020,4726939,2,104
4726940,4037185,2,89
6217416,4726963,2,58
4726915,4016359,2,92
4726939,2111,2,241
4726949,4459258,2,105
4726941,3747867,2,73
2050,4726929,2,213
5747306,4726963,2,74
4726917,3764796,2,18
4726949,4459257,2,88
4726922,5138169,2,37
4472690,4726914,2,45
1766,4726956,2,279
4726922,5138168,2,62
1766,4726955,2,254
4726948,4037243,2,64
4726914,1724,2,214
4726917,4008836,2,29
4726920,4016337,2,21
4726920,4016336,2,104
4726956,1647,2,279
2377,4726955,2,254
4726944,3926298,2,80
4726949,3748094,2,94
3765191,4726916,2,12
4726960,4036654,2,90
4726920,4008283,2,80
2542,4726926,2,249
4726947,1956,2,215
3765191,4726917,2,21
2377,4726956,2,279
4997020,4726949,2,21
4726947,1955,2,395
3343778,4726955,2,254
4726946,1955,2,356
3687251,4726938,2,75
3343778,4726956,2,279
4726946,1956,2,216
4726919,4459242,2,18
4997023,4726946,2,36
3687251,4726939,2,54
4997023,4726945,2,9
4726944,1166832,2,190
4726918,3764799,2,18
4726948,3813079,2,64
4726944,1166833,2,190
4726928,2051,2,278
6591544,4726928,2,97
3687123,4726948,2,64
4726948,4044994,2,64
3687123,4726949,2,105
4726914,4459240,2,58
4997015,4726954,2,21
4726918,3926212,2,18
5747304,4726914,2,79
4726914,4459239,2,79
4726945,1166833,2,197
4726959,2001,2,198
4726945,1166832,2,197
3765150,4726917,2,29
3765150,4726916,2,48
4726914,3749690,2,67
3716966,4726946,2,36
3716966,4726945,2,22
4726919,5138167,2,64
4726942,4037184,2,72
3687123,4726938,2,104
